name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,IsData,generator,additionalSelection,isreHLT
TTJETS_SlfromT,"/TTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,/TTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3_ext1-v1/MINIAODSIM",52961502,1,182.15544,0.0034393934,,80X_mcRun2_asymptotic_2016_v3,mc,MG_aMCatNLO MLM,none,isreHLT
,,,,,,,,,,,
TTJETS_SlfromTbar,"/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM",60494823,1,182.15544,0.0030110914,,look at me again,mc,MG_aMCatNLO MLM,none,isreHLT
TTJETS_SlfromTbar,"/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3_ext1-v1/MINIAODSIM",59654914,1,182.15544,0.0030534859,,80X_mcRun2_asymptotic_2016_v3,mc,MG_aMCatNLO MLM,none,isreHLT
,,,,,,,,,,,
ttHbb,/ttHTobb_M125_13TeV_powheg_pythia8/RunIISpring16MiniAODv1-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,3550938,1,0.2934,8.26260554254E-005,,80X_mcRun2_asymptotic_2016_v3,mc,PowhegBoxV2,none,isreHLT
ttHbb,/ttHTobb_M125_13TeV_powheg_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v2/MINIAODSIM,3936004,1,0.2934,7.45426071721E-005,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,PowhegBoxV2,none,isreHLT
ttHbb,/ttHTobb_M125_13TeV_powheg_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,3912212,1,0.2934,7.49959358031E-005,,80X_mcRun2_asymptotic_v14,mc,PowhegBoxV2,none,isreHLT
,,,,,,,,,,,
ttHnonbb,/ttHToNonbb_M125_13TeV_powheg_pythia8/RunIISpring16MiniAODv1-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,3805164,1,0.2151,5.65284439777E-005,,80X_mcRun2_asymptotic_2016_v3,mc,PowhegBoxV2,none,isreHLT
