name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection
,,,,,,,,,,
WW,/WW_TuneCUETP8M1_13TeV-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,988418,1,118.7,0.120090893,/WW_TuneCUETP8M1_13TeV-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,pythia8,NONE
WZ,/WZ_TuneCUETP8M1_13TeV-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,1000000,1,44.9,0.0449,/WZ_TuneCUETP8M1_13TeV-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,pythia8,NONE
ZZ,/ZZ_TuneCUETP8M1_13TeV-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,985600,1,15.4,0.015625,/ZZ_TuneCUETP8M1_13TeV-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,pythia8,NONE
,,,,,,,,,,
TTJETS_madgraphPythia8,/TTJets_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,10215131,1,831.76,0.081424311,/TTJets_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified,NONE
TTBAR_amcHerwig,/TT_TuneEE5C_13TeV-amcatnlo-herwigpp/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,19911876,0.5618,831.76,0.074353962,/TT_TuneEE5C_13TeV-amcatnlo-herwigpp/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified,NONE
TTJETS_amc,"/TT_TuneCUETP8M1_13TeV-amcatnlo-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,/TT_TuneCUETP8M1_13TeV-amcatnlo-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext1-v1/MINIAODSIM",38237400,0.332,831.76,0.065113728,/TT_TuneCUETP8M1_13TeV-amcatnlo-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified,NONE
TTJETS_amcFXFX,/TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,38475776,0.332,831.76,0.065113728,/TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified,NONE
TTJETS_DL_MGP8,"/TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,/TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext1-v1/MINIAODSIM",30796419,1,87.3348,0.002835875,/TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified,NONE
TTJETS_SLfromT_MGP8,"/TTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,/TTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext1-v2/MINIAODSIM",61540368,1,182.15544,0.002959934,/TTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified,NONE
TTJETS_SLfromTbar_MGP8,"/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v2/MINIAODSIM,/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext1-v1/MINIAODSIM",61763167,1,182.15544,0.002949257,/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified,NONE
TTBB,"/ttbb_4FS_ckm_amcatnlo_madspin_pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,/ttbb_4FS_ckm_amcatnlo_madspin_pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext1-v2/MINIAODSIM",1,1,1,1,/ttbb_4FS_ckm_amcatnlo_madspin_pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified,NONE
,,,,,,,,,,
el_reminiaod,/SingleElectron/Run2015D-16Dec2015-v1/MINIAOD,,,,1,/SingleMuon/shwillia-Boostedv5MiniAODsilverJson-f2b66500c146c0c25ff7f9355633c0f7/USER,76X_dataRun2_v15,TRUE,notSpecified,NONE
mu_reminiaod,/SingleMuon/Run2015D-16Dec2015-v1/MINIAOD,,,,1,/SingleElectron/shwillia-Boostedv5MiniAODsilverJson-f2b66500c146c0c25ff7f9355633c0f7/USER,76X_dataRun2_v15,TRUE,notSpecified,NONE
