name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator
WJets-HT-1200-2500,/WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,246239,1,1.329,0.005332231,/WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified
WJets-HT-2500-Inf,/WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,251982,1,0.03216,0.000127628,/WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified
,,,,,,,,,
WW,/WW_TuneCUETP8M1_13TeV-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,988418,1,118.7,0.120090893,/WW_TuneCUETP8M1_13TeV-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,pythia8
WZ,/WZ_TuneCUETP8M1_13TeV-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,1000000,1,44.9,0.0449,/WZ_TuneCUETP8M1_13TeV-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,pythia8
ZZ,/ZZ_TuneCUETP8M1_13TeV-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,985600,1,15.4,0.015625,/ZZ_TuneCUETP8M1_13TeV-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,pythia8
,,,,,,,,,
TTJETS_madgraphPythia8,/TTJets_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,10215131,1,831.76,0.081424311,/TTJets_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified
TTBAR_amcHerwig,/TT_TuneEE5C_13TeV-amcatnlo-herwigpp/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,19911876,0.5618,831.76,0.074353962,/TT_TuneEE5C_13TeV-amcatnlo-herwigpp/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified
TTJETS_amcFXFX,/TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,38475776,0.332,831.76,0.065113728,/TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified
TTJETS_DL_MGP8,/TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12*v1/MINIAODSIM,30796419,1,87.3348,0.002835875,/TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified
TTJETS_SLfromT_MGP8,/TTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12*v1/MINIAODSIM,61540368,1,182.15544,0.002959934,/TTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified
TTJETS_SLfromTbar_MGP8,/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext1*v1/MINIAODSIM,61763167,1,182.15544,0.002949257,/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified
,,,,,,,,,
el_reminiaod,/SingleElectron/Run2015D-16Dec2015-v1/MINIAOD,,,,1,/SingleElectron/kelmorab-Boostedv4MiniAODsilverJson-290149863c84c1a35489ba7f9a981c60/USER,76X_dataRun2_v15,TRUE,notSpecified
mu_reminiaod,/SingleMuon/Run2015D-16Dec2015-v1/MINIAOD,,,,1,/SingleMuon/kelmorab-Boostedv4MiniAODsilverJson-290149863c84c1a35489ba7f9a981c60/USER,76X_dataRun2_v15,TRUE,notSpecified



